ID,NAME,POSTAL,ADDRESS,TYPE,Latitude,Longitude
396,"St. Cyprian's Anglican, Iona Presbyterian and St. Christopher's Chinese Anglican Church",,1080 Finch Avenue,Non-denominational Christian,43.790851,-79.364904
397,St. David's Anglican Church,,1796 Lawrence Avenue,Anglican,43.703747,-79.500802
398,Immanuel Baptist Church,,1100 Finch Avenue East,Baptist,43.792851,-79.35628
399,St. Demetrios Greek Orthodox Church,,30 Thorncliffe Park Drive,Greek Orthodox,43.702816,-79.345059
400,St. Demetrius the Great Martyr Ukrainian Catholic Church,,135 La Rose Avenue,Ukrainian Catholic,43.670569,-79.371588
401,St. Demetrius Ukrainian Orthodox Church,,3338 Lakeshore Blvd. West,Ukrainian Orthodox,43.59664,-79.525629
402,Holy Spirit Roman Catholic Church,,3526 Sheppard Avenue East,Roman Catholic,43.780445,-79.302338
403,Eglinton St. George United Church,,35 Lytton Blvd.,United Church,43.715494,-79.403208
404,Église du Sacré-Cœur,,381 Sherbourne Street,Roman Catholic,43.663817,-79.37302
405,The Berkeley Church Heritage Event Venue (former Berkeley Street Wesleyan Methodist Church),,317 Queen Street East,Non-religious,43.655052,-79.365918
406,Slavic Evangelical Church,,95 Gladstone Avenue,Baptist,43.645517,-79.427906
407,Smyrna Korean Presbyterian Church,,2 26th Street,Presbyterian,43.597381,-79.52476
408,Hare Krishna Centre (former Church of the Covenant),,243 Avenue Road,Other,43.676958,-79.397216
409,St. Francis of Assisi Church,,101 Grace Street,Roman Catholic,43.653605,-79.414789
410,Spring Garden Church,,112 Spring Garden Avenue,Baptist,43.765123,-79.406276
411,Bloor Community Church,,191 Westmoreland Avenue,Unknown,43.666016,-79.432362
412,Blessed Trinity Parish,,3220 Bayview Avenue West,Roman Catholic,43.787164,-79.393458
413,Sri Jain Mandir,,247 Park Lawn Road,Other,43.632718,-79.491696
414,Holy Rosary,,354 St. Clair Avenue West,Roman Catholic,43.684509,-79.413909
415,St. Agnes' Roman Catholic Church,,15 Grace Street,Roman Catholic,43.651283,-79.413983
416,Emmanuel Howard Park United Church,,214 Wright Avenue,United Church,43.645395,-79.448947
417,St. Aidan's Anglican Church,,70 Silver Birch Avenue,Anglican,43.672327,-79.285218
418,Church of the Incarnation,,15 Clairtrell Road,Anglican,43.767472,-79.390066
419,Church of the Messiah,,240 Avenue Road,Anglican,43.676942,-79.397925
420,Church of the Nazarene,,661 Kennedy Road,Church of the Nazarene,43.72563,-79.264716
421,St. Alban the Martyr Church,,100-120 Howland Avenue,Anglican,43.669394,-79.41045
422,St. Alphonsus Roman Catholic Church,,540 St. Clair Avenue West,Roman Catholic,43.683081,-79.420321
423,St. Ambrose Roman Catholic Church,,782 Browns Line,Roman Catholic,43.608533,-79.54906
424,St. Andrew by the Lake Anglican Church,,1 Centre Island Park,Anglican,43.614301,-79.377862
425,St. Andrew's Anglican Church,,2333 Victoria Park Avenue,Anglican,43.765303,-79.317972
426,St. Andrew's Evangelical Lutheran Church,,383 Jarvis Street,Lutheran,43.662262,-79.376368
427,St. Andrew's Japanese and St. David's Anglican Church,,49 Donlands Avenue,Anglican,43.680998,-79.337056
428,First Hungarian Presbyterian Church,,439 Vaughan Road,Presbyterian,43.689089,-79.432862
429,Church of the Pentecost,,1355 Warden Avenue,Full Gospel,43.755863,-79.298588
430,Church of the Redeemer,,162 Bloor Street West,Anglican,43.669063,-79.394024
431,Church of the Transfiguration,,111 Manor Road East,Anglican,43.7036,-79.391056
432,Christ Church Anglican,,155 Markham Road,Anglican,43.741696,-79.217921
433,65 Sheldrake Blvd. (former Eglinton United Church),,65 Sheldrake Blvd.,Non-religious,43.715032,-79.398322
434,Clairlea Park Presbyterian Church,,3236 St. Clair Avenue East,Presbyterian,43.710227,-79.289327
435,Clanton Park Synagogue,,11 Lowesmoor Avenue,Judaism - Orthodox,43.745726,-79.444457
436,Church of St. Luke,,3200 Bayview Avenue,Lutheran,43.786241,-79.393083
437,Humbercrest United Church,,16 Baby Point Road,United Church,43.658489,-79.489991
438,Humbervale United Church,,1447 Humbervale Place,United Church,43.64299,-79.508205
439,70 High Park Avenue (former Third Church of Christ the Scientist),,70 High Park Avenue,Non-religious,43.655955,-79.466961
440,St. Andrew's Presbyterian Church,,3819 Bloor Street West,Presbyterian,43.641258,-79.536897
441,St. Andrew's Presbyterian Church,,73 Simcoe Street,Presbyterian,43.646816,-79.385293
442,Blessed Sacrament Roman Catholic Church,,24 Cheritan Avenue,Roman Catholic,43.723159,-79.402908
443,Corpus Christi Church,,1810 Queen Street East,Roman Catholic,43.668336,-79.309717
444,St. Andrew's Presbyterian Church Humber Heights,,1579 Royal York Road,Presbyterian,43.698845,-79.533796
445,St. Andrew's Presbyterian Church Scarborough,,115 St. Andrew's Road,Presbyterian,43.760218,-79.251678
446,Cosburn United Church,,1108 Greenwood Avenue,United Church,43.692264,-79.338265
447,Iglesia ni Cristo - Tabernaculo Evangelistico,,710 Markham Road,Church of Christ,43.762441,-79.22692
448,Iglesia Reformada Hispana La Senda del Amor,,176 Maple Leaf Drive,Reformed Church of America,43.711135,-79.497565
449,724 Brimley Road (formerly One Accord Apostolic Church),,724 Brimley Road,Unknown,43.748141,-79.253533
450,St. Andrew's United Church,,117 Bloor Street East,United Church,43.670511,-79.383897
451,Currie Hall (former Society of Friends Meeting House),,105 Maitland Street,Non-religious,43.664668,-79.379435
452,Danforth Baptist Church,,60 Bowden Street,Baptist,43.676704,-79.35419
453,St. Ann's Roman Catholic Church,,711 Gerrard Street East,Roman Catholic,43.665894,-79.348098
454,St. Anne Ukrainian Catholic Church,,525 Morrish Road,Ukrainian Catholic,43.790935,-79.173436
455,St. Anne's Anglican Church,,270 Gladstone Avenue,Anglican,43.650594,-79.430729
456,Richview United Church,,149 Wellesworth Drive,United Church,43.661128,-79.580908
457,Riverdale Presbyterian Church,,662 Pape Avenue,Presbyterian,43.67782,-79.344561
458,Riverdale United Church,,1117 Gerrard Street East,United Church,43.669459,-79.333419
459,Riverside Missionary Church,,456 King Street East,Missionary Church,43.655355,-79.359272
460,Riverside-Emery United Church,,2799 Weston Road,United Church,43.71932,-79.537029
461,Central United Church,,1 King Street,United Church,43.701572,-79.520188
462,Rosedale Presbyterian Church,,129 Mount Pleasant Drive,Presbyterian,43.67592,-79.380184
463,Rosedale United Church,,159 Roxborough Drive,United Church,43.684143,-79.372356
464,Royal Antediluvian Order of the Buffaloes (former church),,222 Broadview Avenue,Non-religious,43.661948,-79.351429
465,Runnymede Community Church,,60 Colbeck Street,Non-denominational,43.654873,-79.478383
466,Runnymede Presbyterian Church,,680 Annette Street,Presbyterian,43.659169,-79.484829
467,Runnymede United Church,,432 Runnymede Road,United Church,43.656701,-79.479397
468,Ferndale Baptist Church,,614 Brimley Road,Baptist,43.742219,-79.251065
469,Bloordale United Church,,4528 Bloor Street West,United Church,43.632033,-79.575135
470,Saint George Romanian Orthodox Church,,247 Rosethorn Avenue,Romanian Orthodox,43.683824,-79.464546
471,Saints Cyril and Methody Bulgarian Eastern Orthodox Cathedral,,237 Sackville Street,Macedono-Bulgarian Orthodox,43.660471,-79.362836
472,Chapel at Bishop Strachan School,,298 Lonsdale Road,Anglican,43.690239,-79.408889
473,"Fifth Church of Christ, Scientist",,41 Chatsworth Drive,"Church of Christ, Scientist",43.72179,-79.403661
474,Salvation Army – Dovercourt Citadel,,789 Dovercourt Road,Salvation Army,43.66246,-79.429443
475,Salvation Army – Florence Booth House,,723 Queen Street West,Salvation Army,43.646489,-79.406338
476,Church of Jesus Christ of Latter-day Saints,,1990 Jane Street,Church of Jesus Christ of Latter-day Saints (Mormon),43.713951,-79.507383
477,First Baptist Church,,101 Huron Street,Baptist,43.654614,-79.396355
478,San Lorenzo Anglican Church,,2981 Dufferin Street,Anglican,43.710721,-79.453994
479,Sanctuary Lofts (formerly H.O.P.E. Centre and Dufferin Street Presbyterian Church),,1183 Dufferin Street,Non-religious,43.664931,-79.437116
480,Bloor Street United Church,,300 Bloor Street West,United Church,43.667388,-79.401868
481,Santa Cruz Roman Catholic Church,,140 Argyle Street,Roman Catholic,43.646454,-79.423843
482,Scarborough Baptist Church,,1597 Kingston Road,Baptist,43.690312,-79.266168
483,Scarborough Bluffs United Church,,3739 Kingston Road,United Church,43.745625,-79.208765
484,Scarborough Chinese Baptist Church,,2610 Birchmount Road,Baptist,43.790754,-79.302981
485,Chevra Shas,,3545 Bathurst Street,Judaism - Orthodox,43.730215,-79.431906
486,Chinese Gospel Church,,450 Dundas Street West,Associated Gospel,43.653484,-79.395916
487,Chinese Presbyterian Church,,177 Beverley Street,Presbyterian,43.65542,-79.39429
488,Epiphany Evangelical Lutheran Church,,20 Old Kingston Road,Lutheran,43.77526,-79.183731
489,Grace Memorial Church/Romanian Baptist Church,,36 Broadlands  Blvd.,Evangelical Missionary Church,43.744895,-79.323205
490,Hallelujah Fellowship Baptist Church,,425 Pacific Avenue,Baptist,43.665971,-79.468235
491,Christ the Savior Russian Orthodox Cathedral,,823 Manning Avenue,Russian Orthodox,43.6688,-79.417436
492,Shaarei Shomayim Congregation,,470 Glencairn Avenue,Judaism - Orthodox,43.713144,-79.427023
493,Christ the Saviour Russian Orthodox Cathedral,,823 Manning Avenue,Russian Orthodox,43.6688,-79.417436
494,Christadelphians Chapel,,691 Scarlett Road,Christadelphian,43.694889,-79.519257
495,Sharei Tefillah,,3600 Bathurst Street,Judaism - Orthodox,43.73109,-79.433159
496,Grace Presbyterian Church,,447 Port Union Road,Presbyterian,43.795001,-79.143099
497,Sheppard Gospel Hall,,720 Sheppard Avenue West,Church of God,43.754245,-79.445643
498,Christie Street Baptist Church,,177 Christie Street,Baptist,43.668328,-79.419684
499,Church of Christ the King,,475 Rathburn Road,Anglican,43.652983,-79.573056
500,Church of God of Prophecy,,3200 Dundas Street West,Church of God of Prophecy,43.665783,-79.476585
501,175 Jones Avenue (formerly Church of St. Clement),,175 Jones Avenue,Non-religious,43.667383,-79.334409
502,Shri Swaminarayan Temple (formerly Centennial-Rouge United Church),,6540 Kingston Road,Hinduism,43.794496,-79.154546
503,Holy Name Roman Catholic Church,,606 Danforth Avenue,Roman Catholic,43.679091,-79.345949
504,Bloor Lansdowne Christian Fellowship,,1307 Bloor Street West,Non-denominational,43.658022,-79.443539
505,2 Bellefair Avenue (former Bellefair United Church),,2 Bellefair Avenue at Queen Street East,Non-religious,43.670419,-79.300264
506,Union Lofts (formerly Toronto Perth Avenue Adventist Church),,243 Perth Avenue,Seventh-Day Adventist Church,43.661352,-79.450278
507,"Knox, Agincourt United Church",,2569 Midland Avenue,United Church,43.786141,-79.278412
508,Korean Bethel Evangelical Church,,1155 College Street,Evangelical,43.651883,-79.434742
509,Wychwood-Davenport Presbyterian Church,,155 Wychwood Avenue,Presbyterian,43.682504,-79.423069
510,Church of Our Saviour,,1 Laurentide Drive,Anglican,43.751628,-79.337094
511,Westway United Church,,8 Templar Drive,United Church,43.687933,-79.555032
512,University of Toronto Joint Centre for Bioethics (former Zion Congregational Church),,88 College Street,Non-religious,43.66077,-79.387778
513,Victoria Lofts (formerly Victoria-Royce Presbyterian Church),,152 Annette Street,Non-religious,43.663635,-79.466857
514,Church of Jesus Christ of Latter-day Saints,,95 Melbert Road,Church of Jesus Christ of Latter-day Saints (Mormon),43.649758,-79.581867
515,Victoria Park United Church,,1 Stamford Square North,United Church,43.711231,-79.295428
516,Christ Emmanuel Community Church,,2712 Victoria Park Avenue,Evangelical Christian,43.784181,-79.327764
517,Lansing Gospel Hall,,41 Elmhurst Avenue,Non-denominational Christian,43.762471,-79.413528
518,Lawrence Park Community Church,,2180 Bayview Avenue,United Church,43.724984,-79.380477
519,Walmer Road Baptist Church,,38 Walmer Road,Baptist,43.668575,-79.406742
520,Leaside Presbyterian Church,,670 Eglinton Avenue East,Presbyterian,43.71227,-79.372518
521,Waverley Road Baptist Church,,129 Waverley Road,Baptist,43.67103,-79.301165
522,Leaside United Church,,822 Millwood Road,United Church,43.705326,-79.368643
523,Wesley Chapel Free Methodist Church,,2385 Warden Avenue,Methodist,43.785957,-79.310509
524,Wesley Mimico United Church,,2 Station Road,United Church,43.613219,-79.49372
525,Westway Christian Church,,6 Kilburn Place,Church of Christ,43.685308,-79.55389
526,Church of Jesus Christ of Latter-day Saints,,851 Ossington Avenue,Church of Jesus Christ of Latter-day Saints (Mormon),43.665043,-79.426389
527,Living Stone Assembly,,3501 Kennedy Road North,Pentecostal,43.822559,-79.305982
528,Light of Messiah Congregation,,98 Finch Avenue West,Associated Gospel,43.778241,-79.423872
529,West Ellesmere United Church,,37 Marchington Circle,United Church,43.758205,-79.30756
530,West Hill United Church,,62 Orchard Park Drive,United Church,43.774189,-79.179572
531,Lighthouse Community Centre,,1008 Bathurst Street,Christian Reformed Church,43.670704,-79.413671
532,West Toronto Baptist Church,,3049 Dundas Street West,Baptist,43.665297,-79.471157
533,York Community Church,,1100 Weston Road,Salvation Army,43.685951,-79.487875
534,Westminster United Church,,69 William Street,United Church,43.703605,-79.512616
535,Weston Presbyterian Church,,7 Cross Street,Presbyterian,43.647415,-79.427987
536,Westmount Park Church,,1483 Royal York Road,Associated Gospel,43.689552,-79.529352
537,Weston Park Baptist Church,,1871 Weston Road,Baptist,43.699957,-79.515316
538,Faith Sanctuary,,1901 Jane Street,Pentecostal,43.710361,-79.505423
539,Tamil Church of the Holy Bible,,250 Warden Avenue,Pentecostal,43.689755,-79.271511
540,Temple Emanu-El (Synagogue),,120 Old Colony Road,Judaism - Reform,43.759736,-79.374433
541,St. Margaret's Anglican Church,,156 Sixth Street,Anglican,43.602273,-79.504698
542,Temple Sinai (Synagogue),,210 Wilson Avenue,Judaism - Reform,43.7394,-79.425422
543,St. Margaret's Church,,53 Burnaby Blvd.,Anglican,43.704957,-79.409218
544,The Abbey (former Emmanuel Howard Park United Church),,384 Sunnyside Avenue,Non-religious,43.650264,-79.4536
545,Thorncliffe Park United Church/St. Edith Stein Catholic Church,,16 Thorncliffe Park Drive,Roman Catholic,43.703993,-79.347447
546,Wexford Presbyterian Church,,7 Elinor Avenue,Presbyterian,43.744626,-79.300472
547,Kielcer Congregation,,2941 Bathurst Street,Judaism - Orthodox,43.716336,-79.428785
548,Timothy Eaton Memorial Church,,230 St. Clair Avenue West,United Church,43.686329,-79.405898
549,Toras Emes,,1 Viewmount Avenue,Judaism - Orthodox,43.710328,-79.428078
550,Toronto Chinese Alliance Church,,77 First Avenue,Christian and Missionary Alliance,43.66494,-79.34924
551,Toronto Chinese Baptist Church,,72 Beverley Street,Baptist,43.65185,-79.393463
552,Toronto Chinese Evangelical Lutheran Church,,2850 Midland Avenue,Lutheran,43.799472,-79.285326
553,Toronto Chinese Mennonite Church,,1038 Woodbine Avenue,Mennonite,43.687415,-79.314031
554,Toronto Dance Theatre (formerly St. Enoch's Presbyterian Church),,80 Winchester Street,Non-religious,43.666431,-79.367015
555,Toronto Formosan Presbyterian Church,,31 Eastwood Road,Presbyterian,43.672933,-79.318144
556,Toronto Full Gospel Church/Weston Road Pentecostal Church,,3350 Weston Road,Pentecostal,43.74551,-79.541596
557,Toronto Gospel Lighthouse Church,,17 Rhodes Avenue,Pentecostal,43.66695,-79.317618
558,Toronto Grace Church of the Nazarene,,624 Annette Street,Church of the Nazarene,43.659746,-79.482171
559,Toronto Grace of God Church of the Nazarene,,624 Annette Street,Church of the Nazarene,43.659746,-79.482171
560,Toronto Heliconian Club (former Olivet Congregational Church),,35 Hazelton Avenue,Non-religious,43.671861,-79.39324
561,Toronto Heritage Seventh-Day Adventist Church,,24 Innes Avenue,Seventh-Day Adventist Church,43.681382,-79.456984
562,Toronto Mandarin Chinese Community Church,,2230 Birchmount Road,Unknown,43.779051,-79.297654
563,Toronto Necropolis Chapel,,200 Winchester Street,Non-denominational,43.667676,-79.361389
564,Toronto New Covenant Cathedral,,255 Blantyre Avenue,Church of God of Prophecy,43.683326,-79.281793
565,"Toronto Public Library, St. Clements Branch (formerly Eglinton Presbyterian Church)",,14 St. Clements Avenue,Non-religious,43.713064,-79.400269
566,Toronto Southeast Presbytery (former Wilmar Heights United Church),,963 Pharmacy Avenue,Non-religious,43.734662,-79.300913
567,Toronto West Christadelphians,,24 Langside Avenue,Christadelphian,43.709097,-79.517575
568,Transfiguration of Our Lord Roman Catholic Church,,45 Ludstone Drive,Roman Catholic,43.691204,-79.564125
569,Kiever Synagogue (The First Russian Congregation of Rodfei Sholem Anshei Kiev),,28 Denison Square and 25 Bellevue Street,Judaism - Orthodox,43.653618,-79.402973
570,"St. Margaret, Queen of Scotland Roman Catholic Church",,222 Ridley Blvd.,Roman Catholic,43.738563,-79.421596
571,Kimbourne Park United Church,,200 Wolverleigh Blvd.,United Church,43.685628,-79.322524
572,Knox College Chapel,,59 St. George Street,Presbyterian,43.661356,-79.39709
573,St. Margaret’s-in-the-Pines,,4130 Lawrence Avenue East,Anglican,43.768598,-79.192784
574,St. Maria Goretti Roman Catholic Church,,717 Kennedy Road,Roman Catholic,43.728743,-79.266475
575,Trinity College Chapel,,6 Hoskin Avenue,Anglican,43.66514,-79.395542
576,Trinity Evangelical Lutheran Church,,619 Sherbourne Street,Lutheran,43.671797,-79.376143
577,St. Mark and Calvary Anglican Church,,21 Blackthorn Avenue,Anglican,43.675084,-79.458524
578,Stashover-Slipia Synagogue – Beth Knesset Anshei Stashover-Slipia,,11 Sultana Avenue,Judaism - Orthodox,43.728318,-79.43261
579,St. Mark's Coptic Orthodox Church,,41 Glendenning Avenue,Coptic Orthodox,43.811831,-79.332517
580,Ukrainian Baptist Church,,148 Tecumseth Street,Baptist,43.646069,-79.406602
581,Ukrainian Catholic Church of the Holy Protection,,30 Leeds Street,Ukrainian Catholic,43.664537,-79.425946
582,Knox Presbyterian Church,,630 Spadina Avenue,Presbyterian,43.662448,-79.402556
583,Forest Hill United Church,,2 Wembley Road,United Church,43.701925,-79.426055
584,Ukrainian Full Gospel Church,,557 Bathurst Street,Full Gospel,43.658082,-79.408179
585,Ukrainian Orthodox Church of St. Andrew,,1630 Dupont Street,Ukrainian Orthodox,43.665099,-79.455069
586,Wexford Heights United Church,,2102 Lawrence Avenue East,United Church,43.74672,-79.290522
587,Trinity-St. Paul's United Church,,427 Bloor Street West,United Church,43.665973,-79.405766
588,True Church of Jesus Christ,,96 Highview Avenue,Pentecostal,43.701021,-79.261479
