ID,ADDRESS_OR_INTERSECTION,POSTAL_CODE,GC_LONGITUDE,GC_LATITUDE
158,2425 Bloor St W,M6S 4W4,-79.48345839,43.649192
224,1012 Pape Ave,M4K 3V9,-79.34878295,43.68876541
604,3265 Bayview Ave,M2K 1G4,-79.39302338,43.79161337
1495,3003 Danforth Ave,M4C 1M9,-79.28869901,43.69064222
1750,5 The Market Pl,M4C 5M2,-79.29211246,43.69593208
1818,3401 Dufferin St,M6A 2T9,-79.45147044,43.72607903
1834,123 Edward St,M5G 1E2,-79.38680081,43.65563759
2279,1032 Pape Ave,M4K 3W2,-79.34917119,43.68955465
2683,154 Ossington Ave,M6J 2Z5,-79.42033521,43.6476748
3061,1584 Bathurst St,M5P 3H3,-79.42008307,43.68661983
3244,1488 Danforth Ave,M4J 1N4,-79.32573499,43.68312876
3285,811 Dundas St W,M6J 1V4,-79.40864991,43.65161786
3376,1115 LodestarRd,M3J 0G9,-79.466467,43.759236
3467,419 Donlands Ave,M4J 3S2,-79.34276269,43.69444909
3798,873 Jane St,M6N 4C4,-79.49441596,43.67723508
3905,1305 Lawrence Ave W,M6L 1A5,-79.47341308,43.70917554
4291,396 Royal York Rd,M8Y 2R5,-79.5000392,43.6193904
4440,255 Morningside Ave,M1E 3E6,-79.18490061,43.77012229
4457,901 Bay St,M5S 3K6,-79.38644797,43.66330534
4465,114 Cumberland St,M5R 1A6,-79.39164185,43.67029042
4580,208 Bloor St W,M5S 3B4,-79.395897,43.66869542
5280,101-2221 Keele St,M6M 3Z5,-79.4755076,43.69896835
5512,264 Bloor St W,M5S 1V8,-79.400399,43.66762424
7070,136 Orton Park Rd,M1G 3H1,-79.20911961,43.77171822
7104,360 Bloor St W,M5S 1X1,-79.40512321,43.66678742
7138,2091 Danforth Ave,M4C 1K1,-79.31232417,43.68555649
7179,45 Overlea Blvd,M4H 1C3,-79.3462589,43.70554671
8136,855 Kingston Rd,M4E 1R9,-79.29089162,43.680112
8219,553 Sammon Ave,M4C 2E1,-79.3255938,43.68864309
8714,90 Eglinton Ave E,M4P 2Y3,-79.39590296,43.70762956
8722,3463 Yonge St,M4N 2N3,-79.4041714,43.73416878
8797,2901 Sheppard Ave E,M1T 3J3,-79.32209692,43.7750538
9118,725 Jane St,M6N 4B3,-79.49309142,43.67062645
9449,1849 Yonge St,M4S 1Y2,-79.3959269,43.69696036
9506,467 Parliament St,M5A 3A3,-79.36753708,43.66402746
9589,1601 Bayview Ave,M4G 3B5,-79.37508559,43.7063546
9852,942 St Clair Ave W,M6C 1C8,-79.43542666,43.67992917
10496,1507 Yonge St,M4T 1Z2,-79.39433154,43.6893876
12112,991 Dovercourt Rd,M6H 2X6,-79.43146765,43.66713518
12401,815 College St,M6G 1C9,-79.42199262,43.65430466
12856,1156 Danforth Ave,M4J 1M3,-79.3333876,43.6815478
13086,333 Symington Ave,M6P 3X1,-79.45123564,43.66646992
13672,1732 St Clair Ave W,M6N 1J1,-79.45993645,43.67443134
13771,1938 Bloor St W,M6P 3K8,-79.4667928,43.65344185
13813,412 Summerhill Ave,M4W 2E4,-79.37641209,43.68613184
14134,408 Roncesvalles Ave,M6R 2M9,-79.45129545,43.65134844
14324,1176 Queen St E,M4M 1L4,-79.33211163,43.66303199
14449,1935 Sheppard Ave W,M3L 1Y8,-79.51132544,43.73924434
14571,2550 Finch Ave W,M9M 2G3,-79.56037778,43.74903345
14795,2299 Dundas St W,M6R 1X7,-79.45265337,43.65555731
14811,1204 King St W,M6K 1G4,-79.42773618,43.63911021
15032,2891 Lake Shore Blvd W,M8V 1J1,-79.50390818,43.60081988
15461,324 Silverthorn Ave,M6N 3K6,-79.46346202,43.68261003
16113,900 Dufferin St,M6H 4A9,-79.43536233,43.65581706
16436,725 College St,M6G 1C5,-79.41909485,43.65428662
16444,152 Carlton St,M5A 2K1,-79.37456316,43.66308721
16568,374 Danforth Ave,M4K 1N8,-79.35220853,43.67775687
16774,751 Pape Ave,M4K 3T1,-79.3450739,43.68031545
16915,20 Bloor St E,M4W 3G7,-79.38544143,43.67076174
16964,600 Sherbourne St,M4X 1W4,-79.37687696,43.67163227
17194,698 Danforth Ave,M4J 1L1,-79.34384035,43.67940923
17533,311 Sherbourne St,M5A 3Y1,-79.37185447,43.66148071
18234,200 Bay St,M5J 2J3,-79.37975382,43.64630054
18507,607 Gerrard St E,M4M 1Y2,-79.35147468,43.66549638
19059,474 College St,M6G 1A4,-79.40933732,43.65640101
19810,1042 Eglinton Ave W,M6C 2C5,-79.43038174,43.70018864
20057,424 Dawes Rd,M4B 2E9,-79.29726222,43.70169359
20156,828 Dundas St W,M6J 1V3,-79.40939696,43.65179172
20693,294 Main St,M4C 4X5,-79.30197102,43.68766139
20768,1025 Gerrard St E,M4M 1Z6,-79.33717309,43.66870017
21246,819 Lansdowne Ave,M6H 3Z2,-79.44427739,43.6625169
21329,800 Bathurst St,M5R 3G1,-79.41166101,43.6655524
21931,2333 Dundas St W,M6R 3A6,-79.45264519,43.65589555
22335,238 Danforth Ave,M4K 1N4,-79.35540857,43.67714828
22509,896 St Clair Ave W,M6C 1C5,-79.43322324,43.68040039
22830,17 Leslie St,M4M 3H9,-79.3289992,43.66090854
22939,2262 Bloor St W,M6S 1N9,-79.47804339,43.65098276
22988,1485 Gerrard St E,M4L 2A4,-79.32006106,43.67245472
23010,126 Lower Sherbourne St,M5A 4J4,-79.36764337,43.64936891
23465,1630 Danforth Ave,M4C 1H6,-79.3222686,43.68396558
24091,1180 Victoria Park Ave,M4B 2K4,-79.29649557,43.70929846
24174,825 Don Mills Rd,M3C 1V4,-79.3389656,43.72201526
24257,302 Spadina Ave,M5T 2E7,-79.39859335,43.65335009
24356,855 Broadview Ave,M4K 2P9,-79.35785967,43.67960378
24372,402 Parliament St,M5A 2Z7,-79.36726559,43.66176897
24810,491 Lawrence Ave W,M5M 1C7,-79.42888804,43.71914106
24851,728 Bloor St W,M6G 1L4,-79.41820429,43.66379266
24869,1568 Queen St E,M4L 1E9,-79.31881296,43.66608865
25338,1473 Danforth Ave,M4J 1N5,-79.32595404,43.68260222
25510,550 Eglinton Ave W,M5N 1B6,-79.41534458,43.70344778
25791,555 University Ave,M5G 1X8,-79.38743746,43.65737215
25833,759 Mount Pleasant Rd,M4S 2N4,-79.38948194,43.70778417
25957,2494 Danforth Ave,M4C 1K9,-79.30372427,43.68803796
26021,970 Queen St E,M4M 1J8,-79.34047701,43.66124104
26120,795 Eglinton Ave E,M4G 4E4,-79.36618805,43.71301125
26799,1460 Queen St W,M6K 1M2,-79.43642673,43.64090438
26807,465 Yonge St,M4Y 1X4,-79.38302867,43.66182269
27508,1500 Avenue Rd,M5M 3X2,-79.41630278,43.72268547
27532,399 Bathurst St,M5T 2S8,-79.40568848,43.65309479
27692,61 Queen St E,Toronto,-79.62054,43.685615
28060,1021 Kingston Rd,M4E 1T5,-79.28476285,43.68063247
28236,959 Broadview Ave,M4K 2R5,-79.35702569,43.682707
28468,799 Bloor St W,M6G 1L8,-79.42134953,43.66271647
28566,360 College St,M5T 1S6,-79.40444693,43.65737885
28596,2238 Dundas St W,M6R 3A9,-79.45149942,43.65438507
28900,260 Spadina Ave,M5T 2E4,-79.39826307,43.65192314
29356,340 College St,M5T 3A9,-79.40346391,43.65758149
29468,29 Roncesvalles Ave,M6R 2K4,-79.44633682,43.63995862
29732,1774 Eglinton Ave W,M6E 2H6,-79.44864098,43.69627356
29924,585 University Ave,M5G 2N2,-79.38914432,43.65816349
29988,431 King St E,M5A 1L5,-79.36157602,43.65352981
30076,2075 Bayview Ave      ,M4N 3M5,-79.37787537,43.72193765
30124,567 Bathurst St,M5S 2P8,-79.40825712,43.65844302
30164,608 Sherbourne St,M4X 1X6,-79.37689723,43.67201746
30268,2077 Weston Rd,M9N 1X7,-79.52244097,43.70215694
30428,1751 Eglinton Ave W,M6E 2H7,-79.4478503,43.69601582
30476,515 St. Clair Ave W,M6C 1A1,-79.41878418,43.68278646
30596,1439 King St W,M6K 1H9,-79.43668259,43.6368405
30932,1560 Yonge St,M4T 2S9,-79.39513015,43.68968694
31276,510 Trethewey Dr,M6M 4C2,-79.48776089,43.69558062
31420,673 College St,M6G 1B9,-79.41712685,43.65500725
31468,1285 Gerrard St E,M4L 1Y5,-79.32820107,43.67075335
31620,547 St. Clair Ave W,M6C 1A3,-79.4206124,43.68243378
31988,842 Gerrard St E,M4M 1Y7,-79.3433066,43.66781519
32452,658 Danforth Ave,M4J 5B9,-79.34464974,43.67921235
32564,856 Eglinton Ave W,M6C 2B6,-79.42603681,43.70112943
32748,19 Davenport Rd,M5R 1J3,-79.389032,43.672761
32756,985 Woodbine Ave,M4C 4B8,-79.31250395,43.68636778
32788,650 Dupont St,M6G 4B1,-79.42100236,43.67214864
32804,351 Christie St,M6G 3C2,-79.42116976,43.67338083
32972,610 University Ave,M5G 2M9,-79.39040828,43.65812981
33284,140 The Esplanade,M5A 4P5,-79.37025666,43.64855702
33308,2280 Dundas St W,M6R 1X4,-79.45054564,43.65482646
33444,1209 King St W,M6K 1G2,-79.42683299,43.63886513
33596,181 Bay St,M5J 2T3,-79.37937378,43.64722301
33612,936 Bloor St W,M6H 1L4,-79.42773669,43.66176382
33628,1218 King St W,M6K 1G4,-79.42815344,43.6390209
33684,525 Dundas St W,M5T 1H4,-79.39896298,43.65249189
33844,2136  Queen St E,M4E 1E3,-79.2936712,43.67159522
33964,30 The Queensway,M6R 1B5,-79.450101,43.63935849
34284,2388 Bloor St W,M6S 1P5,-79.48255095,43.65002283
34492,225 Wellesley St. E.,M4X 1X8,-79.37273841,43.66732467
34524,1235 Bay St,M5R 3K4,-79.38964265,43.67088775
34580,240 Wellesley St E,M4X 1G5,-79.37175537,43.66806791
34644,1649 Dufferin St,M6H 3L9,-79.44250139,43.67730544
34844,811a Queen St E,M4M 1H8,-79.34492902,43.65960552
34852,2345 Yonge St,M4P 1E4,-79.39793609,43.70895956
35164,11 Redway Rd,M4H 1P6,-79.36015997,43.69997345
35292,6220 Yonge St,M2M 3X4,-79.42191127,43.79474622
35346,1615 Dufferin St,M6H 3L9,-79.4422745,43.67662666
35396,1263 St Clair Ave W,M6E 1B8,-79.44663868,43.67692231
35836,2700 Dufferin St,M6B 4J3,-79.45399295,43.7017135
35964,25 Overlea Blvd,M4H 1P9,-79.34981987,43.70435929
36004,1366 Yonge St,M4T 3A7,-79.39359243,43.68603864
36348,30 Bond St       ,M5B 1W8,-79.37768251,43.65365547
36436,66 Wellington St W,M5K 1A1,-79.3812248,43.64723088
36492,2159 Weston Rd,M9N 1X8,-79.52496568,43.70318024
36556,10 Lower Jarvis St,M5E 1Z2,-79.36987821,43.64449046
37060,3671 Dundas St W,M6S 2T3,-79.49587019,43.66544274
37244,3003 Danforth Ave,M4C 1M9,-79.28869901,43.69064222
37324,586 Eglinton Ave E,M4P 1P2,-79.37963695,43.71090461
37364,6620 Finch Ave W,M9V 5H7,-79.60230488,43.73513752
37436,755 Danforth Ave,M4J 1L2,-79.34226695,43.67920203
37980,396 St Clair Ave W,M5P 3N3,-79.41530793,43.68408377
38188,80 Front St E,M5E 1T4,-79.37294999,43.64949761
38420,50 Musgrave St,M4E 3W2,-79.2882192,43.68799083
38460,80 Finch Ave West,M2N 2H4,-79.42257257,43.77850674
38620,5095 Yonge St,M2N 6Z4,-79.41227833,43.76828884
38740,343 Wilson Ave,M3H 1T1,-79.43584148,43.73676664
38892,2440 Dundas St W,M6P 1W9,-79.45295357,43.65911978
39036,1533 Jane St,M9N 2R2,-79.50188855,43.69706752
39052,100 Billy Bishop Way,M3K 2C8,-79.45581442,43.73105161
39092,449 Carlaw Ave,M4K 3H9,-79.34275343,43.66830329
39220,528 College St,M6G 1A6,-79.41093226,43.65607714
39756,463 College St,M6G 4C1,-79.40852241,43.65610061
39884,2920 Sheppard Ave E,M1T 3J4,-79.32225175,43.7759612
40092,2575 Danforth Ave,M4C 1L5,-79.3003204,43.68820139
40252,585 University Ave,M5G 2N2,-79.38914432,43.65816349
40340,196 Wilson Ave,M5M 4N7,-79.42389033,43.73979714
40380,901 King St W,M5V 3H5,-79.41125002,43.64188101
40396,2155 St Clair Ave W,M6N 1K5,-79.47317365,43.66965115
40420,817 Yonge St,M4W 2G9,-79.38746816,43.67249379
40700,1901 Weston Rd,M9N 3P5,-79.51599334,43.70058906
300012,3685 Keele St,M3J 3H6,-79.48772248,43.75407674
300075,1 York St,M5J 2Y2,-79.38057986,43.64134384
300097,222 Lansdowne Ave,M6K 3C6,-79.44069862,43.6495619
300108,100 Lynn Williams St,M6K 3N6,-79.41786756,43.639949
300144,1450 Lawrence Ave E,M4A 2S8,-79.31040971,43.74245574
300176,1500 Woodbine Ave,M4C 4G9,-79.31921775,43.69924969
300273,343 Coxwell Ave,M4L 3B5,-79.31992934,43.67520674
300274,1637 Dundas St W,M6K 1V2,-79.43626669,43.64978349
300298,51 Gerry Fitzgerald Dr,M3J 3N4,-79.47151375,43.78482699
300315,388 King St W,M5V 1K2,-79.39274188,43.64632871
300320,473 Church St,M4Y 2C5,-79.38010303,43.66451758
300339,325 Queen St E,M5A 1S9,-79.36535407,43.65520721
300343,4949 Bathurst St,M2R 1Y1,-79.44238476,43.77436455
300357,129 Dundas St E,M5B 2N6,-79.37616009,43.65656703
300376,2245 Islington Ave,M9W 3W7,-79.55359832,43.71417662
300377,1018 Pape Ave,M4K 3V9,-79.34901873,43.68900726
300393,292 Dupont St,M5R 1V9,-79.4079173,43.67494337
300436,2525 St Clair Ave W,M6N 4Z5,-79.48530494,43.66806689
300535,2130 Lawrence Ave E,M1R 3A6,-79.28734356,43.74753914
300542,900 Albion Rd,M9V 1A5,-79.55933958,43.73535982
300599,4990 Yonge St,M2N 0A1,-79.41247433,43.765808
300627,2086 Lawrence Ave W,M9N 3Z9,-79.51846604,43.69988633
300638,1700 Eglinton Ave E,M4A 2X4,-79.31186111,43.72657334
300667,25 Photography Dr,M6M 0A1,-79.48376795,43.68677217
300679,2930 Islington Ave,M9L 2K5,-79.56973401,43.75651206
300689,12 Flemington Rd,M6A 2N4,-79.44495854,43.71953287
300690,576 Rogers Rd,M6M 1B6,-79.47132918,43.68238268
300744,3 The Links Rd,M2P 1T7,-79.40293,43.749652
300862,790 Bay St,M5G 1N8,-79.38617832,43.66045455
300895,2549 Weston Rd,M9N 2A7,-79.53385393,43.70995862
300911,700 University Ave,M5G 1Z5,-79.39119131,43.65901631
300933,3170 Eglinton Ave E,M1J 2H3,-79.22143164,43.74327021
300999,348 Wilson Ave,M3H 1S9,-79.4381131,43.73684851
301086,946 Lawrence Ave E,M3C 1R1,-79.34596187,43.73712403
301089,605 Rogers Rd,M6M 1B9,-79.47451335,43.68161883
301105,130 Industry St,M6M 5G3,-79.49507291,43.69467239
301110,491 Eglinton Ave W,M5N 1A8,-79.41285154,43.7034636
301161,1015 Lake Shore Blvd E,M4M 1B4,-79.3299163,43.65798288
301183,700 Lawrence Ave W,M6A 3B4,-79.44743415,43.71693493
301199,2200 Martin Grove Rd,M9V 5H9,-79.59916507,43.7516287
301202,145 Marlee Ave,M6B 3H3,-79.44103039,43.70326335
301283,29 Toronto St,L9P 1V9,-79.122659,44.107756
301294,2040 Victoria Park Ave,M1R 1V2,-79.31388219,43.75259662
301314,6023 Yonge St,M2M 3W2,-79.41754461,43.78928362
301330,10 Dundas St E,M5B 2G9,-79.38069137,43.65669295
301405,2111 Jane St,M3M 1A2,-79.5078029,43.71897714
301440,180 Danforth Ave.,M4K 1N1,-79.35701011,43.67689898
301566,347 Spadina Ave.,M5T 2G3,-79.3986705,43.65528165
301574,650 Sheppard Ave. E,M2K 3E4,-79.38143225,43.76858557
301621,825 Coxwell Ave,M4C 3E7,-79.324954,43.689832
301710,3630 Victoria Park Ave.,M2H 3B2,-79.33883491,43.80710843
301724,1263 Wilson Ave,M3M 3G3,-79.49158877,43.72427552
301774,3341 Markham Rd,M1X 0A5,-79.25044607,43.83564572
301830,10 Northtown Way,M2N 7L4,-79.41324087,43.77582619
301835,4G Spadina Ave,M5V 3Z9,-79.393614,43.64100349
301846,1265 Morningside Ave,M1B 3V9,-79.19944828,43.80255167
301877,333 Bay St,M5H 2R2,-79.38035554,43.65037603
301914,872 Sheppard Ave W,M3H 5V5,-79.45422735,43.75247822
301922,62 Overlea Blvd,M4H 1C4,-79.3434811,43.70779364
302027,260 Queen Street West,M5V 1Z8,-79.39188751,43.64989158
302055,1278 The Queensway,M8Z 1S3,-79.52658013,43.62135363
302078,3551 Sheppard Ave E,M1T 3K8,-79.29973865,43.78025438
302094,14 Isabella St,M4Y 1N1,-79.38507935,43.66791658
302118,15 York St,M5J 0A3,-79.38087131,43.64234783
302196,69 Queen St E,M5C 1R8,-79.37606864,43.65289437
302225,918 Kingston Rd,M4E 1S5,-79.28913041,43.68056066
302250,200 Front St. E,M5A 4T9,-79.36632346,43.65110089
302339,3352 Keele St,M3J 1L5,-79.48709092,43.74604608
302379,4113 Lawrence Ave. E,M1E 2S2,-79.1942677,43.76639104
302413,3366 Yonge St,M4N 2M7,-79.40449277,43.73232214
302428,720 Spadina Ave ,M5S 2T9,-79.40362059,43.6652906
302435,2284 Kingston Rd.,M1N 1T9,-79.25235217,43.70544747
302440,236 Bloor St. W,M5S 1T8,-79.39699212,43.6683761
302465,1288 Danforth Ave,M4J 1M6,-79.33024015,43.68218469
302472,1678 Dufferin St,M6H 3M1,-79.44319925,43.67759378
302500,1 Oak St,M5A 0A1,-79.36606947,43.66064053
302512,1705 St Clair Ave W,M6N 1J2,-79.45940558,43.67406223
302526,1262 Don Mills Rd,M3B 2W6,-79.34647152,43.74472178
302530,60 Carlton St,M5B 1J2,-79.380033,43.66206094
302531,585 Queen St W,M5V 2B7,-79.40159625,43.647554
302536,18 Lower Jarvis St,M5E 1N1,-79.37088216,43.6475037
302552,171 East Liberty St,M6K 3P6,-79.41779587,43.63832458
302603,6230 Finch Ave W,M9V 0A1,-79.58945422,43.74197669
302617,3857 Lake Shore Blvd W,M8W 0A2,-79.54506687,43.58999929
302650,491 Church St.,M4Y 2C6,-79.38049226,43.66519624
302660,3323 Bathurst St,M6A 2B7,-79.43093572,43.7253807
302676,2928 Danforth Ave,M4C 1M1,-79.2935332,43.69027902
302694,2428 Islington Ave,M9W 3X8,-79.55994053,43.72351819
302697,1871 Danforth Ave,M4C 1J3,-79.31727385,43.68449921
