Intersection,PX,year,infractions
ALBION RD. AND FINCH AVE.,1001,2012,
ALBION RD. AND FINCH AVE.,1001,2013,
ALBION RD. AND FINCH AVE.,1001,2014,
ALBION RD. AND FINCH AVE.,1001,2015,
ALBION RD. AND FINCH AVE.,1001,2016,
ALBION RD. AND FINCH AVE.,1001,2017,116
ELLESMERE RD. AND MILITARY TRL.,1082,2007,0
ELLESMERE RD. AND MILITARY TRL.,1082,2008,0
ELLESMERE RD. AND MILITARY TRL.,1082,2009,81
ELLESMERE RD. AND MILITARY TRL.,1082,2010,684
ELLESMERE RD. AND MILITARY TRL.,1082,2011,531
ELLESMERE RD. AND MILITARY TRL.,1082,2012,667
ELLESMERE RD. AND MILITARY TRL.,1082,2013,539
ELLESMERE RD. AND MILITARY TRL.,1082,2014,691
ELLESMERE RD. AND MILITARY TRL.,1082,2015,589
ELLESMERE RD. AND MILITARY TRL.,1082,2016,564
ELLESMERE RD. AND MILITARY TRL.,1082,2017,392
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2007,0
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2008,1416
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2009,1962
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2010,2291
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2011,1966
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2012,2210
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2013,1589
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2014,1093
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2015,1163
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2016,1994
BAYVIEW AVE. AND TRUMAN RD. / FIFESHIRE RD.,1083,2017,1934
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2007,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2008,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2009,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2010,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2011,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2012,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2013,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2014,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2015,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2016,
SHEPPARD AVE. AND MORNINGSIDE AVE.,1108,2017,261
STEELES AVE. AND HILDA AVE.,1115,2007,25
STEELES AVE. AND HILDA AVE.,1115,2008,625
STEELES AVE. AND HILDA AVE.,1115,2009,527
STEELES AVE. AND HILDA AVE.,1115,2010,760
STEELES AVE. AND HILDA AVE.,1115,2011,846
STEELES AVE. AND HILDA AVE.,1115,2012,1000
STEELES AVE. AND HILDA AVE.,1115,2013,906
STEELES AVE. AND HILDA AVE.,1115,2014,632
STEELES AVE. AND HILDA AVE.,1115,2015,710
STEELES AVE. AND HILDA AVE.,1115,2016,786
STEELES AVE. AND HILDA AVE.,1115,2017,501
STEELES AVE. AND BIRCHMOUNT RD.,1138,2007,0
STEELES AVE. AND BIRCHMOUNT RD.,1138,2008,0
STEELES AVE. AND BIRCHMOUNT RD.,1138,2009,276
STEELES AVE. AND BIRCHMOUNT RD.,1138,2010,209
STEELES AVE. AND BIRCHMOUNT RD.,1138,2011,411
STEELES AVE. AND BIRCHMOUNT RD.,1138,2012,482
STEELES AVE. AND BIRCHMOUNT RD.,1138,2013,345
STEELES AVE. AND BIRCHMOUNT RD.,1138,2014,295
STEELES AVE. AND BIRCHMOUNT RD.,1138,2015,289
STEELES AVE. AND BIRCHMOUNT RD.,1138,2016,318
STEELES AVE. AND BIRCHMOUNT RD.,1138,2017,183
FINCH AVE. AND BIRCHMOUNT RD.,1138,2007,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2008,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2009,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2010,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2011,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2012,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2013,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2014,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2015,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2016,
FINCH AVE. AND BIRCHMOUNT RD.,1138,2017,108
ALBION RD. AND SILVERSTONE DR.,1156,2007,222
ALBION RD. AND SILVERSTONE DR.,1156,2008,1467
ALBION RD. AND SILVERSTONE DR.,1156,2009,1137
ALBION RD. AND SILVERSTONE DR.,1156,2010,1092
ALBION RD. AND SILVERSTONE DR.,1156,2011,975
ALBION RD. AND SILVERSTONE DR.,1156,2012,1213
ALBION RD. AND SILVERSTONE DR.,1156,2013,1289
ALBION RD. AND SILVERSTONE DR.,1156,2014,1071
ALBION RD. AND SILVERSTONE DR.,1156,2015,779
ALBION RD. AND SILVERSTONE DR.,1156,2016,797
ALBION RD. AND SILVERSTONE DR.,1156,2017,604
HIGHWAY 27 AND FINCH AVE.,1163,2007,
HIGHWAY 27 AND FINCH AVE.,1163,2008,
HIGHWAY 27 AND FINCH AVE.,1163,2009,
HIGHWAY 27 AND FINCH AVE.,1163,2010,
HIGHWAY 27 AND FINCH AVE.,1163,2011,
HIGHWAY 27 AND FINCH AVE.,1163,2012,
HIGHWAY 27 AND FINCH AVE.,1163,2013,
HIGHWAY 27 AND FINCH AVE.,1163,2014,
HIGHWAY 27 AND FINCH AVE.,1163,2015,
HIGHWAY 27 AND FINCH AVE.,1163,2016,
HIGHWAY 27 AND FINCH AVE.,1163,2017,346
FINCH AVE. AND BRIMLEY RD.,1178,2007,
FINCH AVE. AND BRIMLEY RD.,1178,2008,
FINCH AVE. AND BRIMLEY RD.,1178,2009,
FINCH AVE. AND BRIMLEY RD.,1178,2010,
FINCH AVE. AND BRIMLEY RD.,1178,2011,
FINCH AVE. AND BRIMLEY RD.,1178,2012,
FINCH AVE. AND BRIMLEY RD.,1178,2013,
FINCH AVE. AND BRIMLEY RD.,1178,2014,
FINCH AVE. AND BRIMLEY RD.,1178,2015,
FINCH AVE. AND BRIMLEY RD.,1178,2016,
FINCH AVE. AND BRIMLEY RD.,1178,2017,123
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2007,0
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2008,60
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2009,27
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2010,48
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2011,67
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2012,82
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2013,86
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2014,95
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2015,95
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2016,78
KINGSTON RD. AND PORT UNION RD. / SHEPPARD AVE.,1201,2017,20
STEELES AVE. AND ISLINGTON AVE.,1208,2007,0
STEELES AVE. AND ISLINGTON AVE.,1208,2008,34
STEELES AVE. AND ISLINGTON AVE.,1208,2009,193
STEELES AVE. AND ISLINGTON AVE.,1208,2010,181
STEELES AVE. AND ISLINGTON AVE.,1208,2011,420
STEELES AVE. AND ISLINGTON AVE.,1208,2012,463
STEELES AVE. AND ISLINGTON AVE.,1208,2013,405
STEELES AVE. AND ISLINGTON AVE.,1208,2014,386
STEELES AVE. AND ISLINGTON AVE.,1208,2015,269
STEELES AVE. AND ISLINGTON AVE.,1208,2016,452
STEELES AVE. AND ISLINGTON AVE.,1208,2017,190
NEILSON RD. AND SHEPPARD AVE.,1222,2007,0
NEILSON RD. AND SHEPPARD AVE.,1222,2008,0
NEILSON RD. AND SHEPPARD AVE.,1222,2009,108
NEILSON RD. AND SHEPPARD AVE.,1222,2010,248
NEILSON RD. AND SHEPPARD AVE.,1222,2011,150
NEILSON RD. AND SHEPPARD AVE.,1222,2012,162
NEILSON RD. AND SHEPPARD AVE.,1222,2013,149
NEILSON RD. AND SHEPPARD AVE.,1222,2014,136
NEILSON RD. AND SHEPPARD AVE.,1222,2015,174
NEILSON RD. AND SHEPPARD AVE.,1222,2016,203
NEILSON RD. AND SHEPPARD AVE.,1222,2017,51
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2007,0
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2008,11
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2009,108
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2010,542
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2011,274
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2012,479
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2013,476
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2014,293
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2015,475
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2016,650
WILSON AVE. AND TRANSIT RD. / BILLY BISHOP WAY,1237,2017,489
PHARMACY AVE. AND MCNICOLL AVE.,1241,2007,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2008,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2009,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2010,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2011,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2012,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2013,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2014,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2015,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2016,
PHARMACY AVE. AND MCNICOLL AVE.,1241,2017,221
WARDEN AVE. AND MCNICOLL AVE.,1287,2007,0
WARDEN AVE. AND MCNICOLL AVE.,1287,2008,0
WARDEN AVE. AND MCNICOLL AVE.,1287,2009,643
WARDEN AVE. AND MCNICOLL AVE.,1287,2010,1482
WARDEN AVE. AND MCNICOLL AVE.,1287,2011,1283
WARDEN AVE. AND MCNICOLL AVE.,1287,2012,1296
WARDEN AVE. AND MCNICOLL AVE.,1287,2013,1176
WARDEN AVE. AND MCNICOLL AVE.,1287,2014,915
WARDEN AVE. AND MCNICOLL AVE.,1287,2015,810
WARDEN AVE. AND MCNICOLL AVE.,1287,2016,329
WARDEN AVE. AND MCNICOLL AVE.,1287,2017,209
WARDEN AVE. AND MCNICOLL AVE.,1287,2007,
WARDEN AVE. AND MCNICOLL AVE.,1287,2008,
WARDEN AVE. AND MCNICOLL AVE.,1287,2009,
WARDEN AVE. AND MCNICOLL AVE.,1287,2010,
WARDEN AVE. AND MCNICOLL AVE.,1287,2011,
WARDEN AVE. AND MCNICOLL AVE.,1287,2012,
WARDEN AVE. AND MCNICOLL AVE.,1287,2013,
WARDEN AVE. AND MCNICOLL AVE.,1287,2014,
WARDEN AVE. AND MCNICOLL AVE.,1287,2015,
WARDEN AVE. AND MCNICOLL AVE.,1287,2016,
WARDEN AVE. AND MCNICOLL AVE.,1287,2017,526
STEELES AVE. AND WESTON RD.,1289,2007,
STEELES AVE. AND WESTON RD.,1289,2008,
STEELES AVE. AND WESTON RD.,1289,2009,
STEELES AVE. AND WESTON RD.,1289,2010,
STEELES AVE. AND WESTON RD.,1289,2011,
STEELES AVE. AND WESTON RD.,1289,2012,
STEELES AVE. AND WESTON RD.,1289,2013,
STEELES AVE. AND WESTON RD.,1289,2014,
STEELES AVE. AND WESTON RD.,1289,2015,
STEELES AVE. AND WESTON RD.,1289,2016,
STEELES AVE. AND WESTON RD.,1289,2017,58
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2007,0
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2008,1056
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2009,1060
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2010,1037
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2011,936
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2012,869
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2013,628
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2014,1049
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2015,990
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2016,882
JANE ST. AND BALA AVE. / EMMETT AVE.,1317,2017,344
BLOOR ST. AND DUNDAS ST.,1321,2007,0
BLOOR ST. AND DUNDAS ST.,1321,2008,0
BLOOR ST. AND DUNDAS ST.,1321,2009,129
BLOOR ST. AND DUNDAS ST.,1321,2010,348
BLOOR ST. AND DUNDAS ST.,1321,2011,146
BLOOR ST. AND DUNDAS ST.,1321,2012,297
BLOOR ST. AND DUNDAS ST.,1321,2013,328
BLOOR ST. AND DUNDAS ST.,1321,2014,267
BLOOR ST. AND DUNDAS ST.,1321,2015,226
BLOOR ST. AND DUNDAS ST.,1321,2016,198
BLOOR ST. AND DUNDAS ST.,1321,2017,824
NEILSON RD. AND MCLEVIN AVE.,1339,2007,
NEILSON RD. AND MCLEVIN AVE.,1339,2008,
NEILSON RD. AND MCLEVIN AVE.,1339,2009,
NEILSON RD. AND MCLEVIN AVE.,1339,2010,
NEILSON RD. AND MCLEVIN AVE.,1339,2011,
NEILSON RD. AND MCLEVIN AVE.,1339,2012,
NEILSON RD. AND MCLEVIN AVE.,1339,2013,
NEILSON RD. AND MCLEVIN AVE.,1339,2014,
NEILSON RD. AND MCLEVIN AVE.,1339,2015,
NEILSON RD. AND MCLEVIN AVE.,1339,2016,
NEILSON RD. AND MCLEVIN AVE.,1339,2017,122
WARDEN AVE. AND ASHTONBEE RD.,1377,2007,
WARDEN AVE. AND ASHTONBEE RD.,1377,2008,
WARDEN AVE. AND ASHTONBEE RD.,1377,2009,
WARDEN AVE. AND ASHTONBEE RD.,1377,2010,
WARDEN AVE. AND ASHTONBEE RD.,1377,2011,
WARDEN AVE. AND ASHTONBEE RD.,1377,2012,
WARDEN AVE. AND ASHTONBEE RD.,1377,2013,
WARDEN AVE. AND ASHTONBEE RD.,1377,2014,
WARDEN AVE. AND ASHTONBEE RD.,1377,2015,
WARDEN AVE. AND ASHTONBEE RD.,1377,2016,
WARDEN AVE. AND ASHTONBEE RD.,1377,2017,1083
LOWER JARVIS ST. AND THE ESPLANADE,1392,2007,0
LOWER JARVIS ST. AND THE ESPLANADE,1392,2008,0
LOWER JARVIS ST. AND THE ESPLANADE,1392,2009,414
LOWER JARVIS ST. AND THE ESPLANADE,1392,2010,891
LOWER JARVIS ST. AND THE ESPLANADE,1392,2011,108
LOWER JARVIS ST. AND THE ESPLANADE,1392,2012,0
LOWER JARVIS ST. AND THE ESPLANADE,1392,2013,284
LOWER JARVIS ST. AND THE ESPLANADE,1392,2014,727
LOWER JARVIS ST. AND THE ESPLANADE,1392,2015,665
LOWER JARVIS ST. AND THE ESPLANADE,1392,2016,692
LOWER JARVIS ST. AND THE ESPLANADE,1392,2017,2708
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2007,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2008,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2009,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2010,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2011,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2012,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2013,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2014,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2015,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2016,
ST. CLAIR AVE. AND GUNNS RD. / OLD STOCK YARDS RD.,1404,2017,106
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2007,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2008,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2009,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2010,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2011,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2012,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2013,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2014,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2015,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2016,
BIRCHMOUNT RD. AND MCNICOLL AVE.,1413,2017,89
FINCH AVE. AND MIDDLEFIELD RD.,1431,2007,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2008,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2009,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2010,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2011,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2012,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2013,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2014,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2015,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2016,
FINCH AVE. AND MIDDLEFIELD RD.,1431,2017,193
STEELES AVE. AND BRIMLEY RD.,1491,2007,0
STEELES AVE. AND BRIMLEY RD.,1491,2008,365
STEELES AVE. AND BRIMLEY RD.,1491,2009,462
STEELES AVE. AND BRIMLEY RD.,1491,2010,402
STEELES AVE. AND BRIMLEY RD.,1491,2011,283
STEELES AVE. AND BRIMLEY RD.,1491,2012,552
STEELES AVE. AND BRIMLEY RD.,1491,2013,477
STEELES AVE. AND BRIMLEY RD.,1491,2014,370
STEELES AVE. AND BRIMLEY RD.,1491,2015,334
STEELES AVE. AND BRIMLEY RD.,1491,2016,379
STEELES AVE. AND BRIMLEY RD.,1491,2017,201
MCCOWAN RD. AND MCNICOLL AVE.,1493,2007,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2008,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2009,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2010,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2011,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2012,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2013,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2014,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2015,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2016,
MCCOWAN RD. AND MCNICOLL AVE.,1493,2017,321
MIDLAND AVE. AND MCNICOLL AVE.,1540,2007,0
MIDLAND AVE. AND MCNICOLL AVE.,1540,2008,121
MIDLAND AVE. AND MCNICOLL AVE.,1540,2009,395
MIDLAND AVE. AND MCNICOLL AVE.,1540,2010,383
MIDLAND AVE. AND MCNICOLL AVE.,1540,2011,356
MIDLAND AVE. AND MCNICOLL AVE.,1540,2012,307
MIDLAND AVE. AND MCNICOLL AVE.,1540,2013,238
MIDLAND AVE. AND MCNICOLL AVE.,1540,2014,253
MIDLAND AVE. AND MCNICOLL AVE.,1540,2015,341
MIDLAND AVE. AND MCNICOLL AVE.,1540,2016,344
MIDLAND AVE. AND MCNICOLL AVE.,1540,2017,152
STEELES AVE. AND CARPENTER RD.,1564,2007,70
STEELES AVE. AND CARPENTER RD.,1564,2008,1061
STEELES AVE. AND CARPENTER RD.,1564,2009,1123
STEELES AVE. AND CARPENTER RD.,1564,2010,835
STEELES AVE. AND CARPENTER RD.,1564,2011,782
STEELES AVE. AND CARPENTER RD.,1564,2012,999
STEELES AVE. AND CARPENTER RD.,1564,2013,834
STEELES AVE. AND CARPENTER RD.,1564,2014,747
STEELES AVE. AND CARPENTER RD.,1564,2015,436
STEELES AVE. AND CARPENTER RD.,1564,2016,601
STEELES AVE. AND CARPENTER RD.,1564,2017,528
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2007,0
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2008,0
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2009,73
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2010,622
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2011,695
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2012,584
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2013,507
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2014,287
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2015,1038
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2016,829
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE,1568,2017,655
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2007,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2008,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2009,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2010,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2011,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2012,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2013,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2014,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2015,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2016,
SHEPPARD AVE. AND MALVERN ST. / PROGRESS AVE.,1568,2017,198
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2007,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2008,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2009,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2010,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2011,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2012,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2013,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2014,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2015,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2016,
SPADINA AVE. AND BREMNER BLVD. / FORT YORK BLVD.,1579,2017,215
MORNINGSIDE AVE. AND MILNER AVE.,1584,2007,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2008,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2009,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2010,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2011,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2012,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2013,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2014,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2015,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2016,
MORNINGSIDE AVE. AND MILNER AVE.,1584,2017,625
KENNEDY RD AT MCNICOLL AVE,1586,2007,
KENNEDY RD AT MCNICOLL AVE,1586,2008,
KENNEDY RD AT MCNICOLL AVE,1586,2009,
KENNEDY RD AT MCNICOLL AVE,1586,2010,
KENNEDY RD AT MCNICOLL AVE,1586,2011,
KENNEDY RD AT MCNICOLL AVE,1586,2012,
KENNEDY RD AT MCNICOLL AVE,1586,2013,
KENNEDY RD AT MCNICOLL AVE,1586,2014,
KENNEDY RD AT MCNICOLL AVE,1586,2015,
KENNEDY RD AT MCNICOLL AVE,1586,2016,
KENNEDY RD AT MCNICOLL AVE,1586,2017,152
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2007,0
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2008,0
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2009,162
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2010,344
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2011,350
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2012,802
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2013,564
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2014,812
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2015,1056
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2016,1145
QUEEN ST. AND LANSDOWNE AVE. / JAMESON AVE.,1981,2017,943
